Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
14U1644,434962,436855,2,1,30/04/2014,2025,6,2,4,2,1,2,1,35,1
1511251,429841,432529,2,1,01/05/2014,1828,6,2,1,1,1,2,1,44,4
1511740,432528,436701,1,1,01/05/2014,2350,6,2,4,1,1,2,1,18,3
1521303,428546,431414,2,2,02/05/2014,1753,3,1,1,1,1,2,2,26,9
1521487,430372,428131,1,1,02/05/2014,1355,6,1,1,1,3,2,1,10,9
1531412,440561,433546,2,1,03/05/2014,1755,3,1,1,1,1,2,1,50,1
1540301,424087,435521,2,1,04/05/2014,405,6,1,4,1,2,2,2,24,9
1571248,424561,445123,2,1,07/05/2014,1720,3,2,1,1,1,2,1,24,1
1580735,425546,436386,2,1,08/05/2014,845,3,2,1,2,1,2,1,37,1
1581682,430174,432863,2,1,08/05/2014,2020,6,1,1,1,1,2,1,74,9
1591120,431780,429414,2,1,09/05/2014,1629,6,1,1,1,1,2,1,5,1
1.50E+165,429859,428347,1,1,14/05/2014,650,6,1,1,1,1,2,1,49,3
15E1210,432333,434509,1,1,13/05/2014,1745,6,2,1,1,3,2,1,12,9
15E1667,420619,441139,2,5,14/05/2014,2010,6,1,1,9,1,2,1,18,9
15E1667,420619,441139,2,5,14/05/2014,2010,6,1,1,9,2,2,1,18,9
15F1407,442156,434450,2,1,15/05/2014,1840,3,1,1,1,1,2,1,51,1
15J1517,429788,430628,2,2,19/05/2014,1837,3,1,1,1,3,2,2,35,9
15J1517,429788,430628,2,2,19/05/2014,1837,3,1,1,1,1,2,1,23,9
15L1393,433401,429912,2,1,21/05/2014,1745,4,1,1,1,1,2,1,35,3
15M0314,426423,433311,1,1,22/05/2014,805,6,2,1,2,3,2,2,14,19
15M1199,431401,435027,2,1,22/05/2014,1640,6,1,1,1,1,2,1,43,1
15M1314,419250,441751,1,1,22/05/2014,1743,4,2,1,2,3,2,2,60,9
15O0331,429330,434989,1,1,24/05/2014,503,3,2,1,1,1,2,1,30,97
15P0887,429187,431920,2,3,25/05/2014,1455,6,2,1,1,1,2,1,23,9
15P0887,429187,431920,2,3,25/05/2014,1455,6,2,1,1,2,2,2,22,9
15P0887,429187,431920,2,3,25/05/2014,1455,6,2,1,1,2,2,1,3,9
15Q0412,429050,439827,1,2,26/05/2014,800,6,1,1,1,3,2,1,66,1
15Q0535,433400,445017,3,1,26/05/2014,1022,3,1,1,1,1,2,1,45,5
15Q0770,432157,436139,2,1,26/05/2014,1255,6,1,1,1,1,2,1,26,3
15Q1004,428926,436533,1,1,26/05/2014,1517,6,1,1,1,1,2,1,32,4
15Q1064,419097,446608,2,1,26/05/2014,1540,6,1,1,1,1,2,1,9,1
15T0247,432060,431124,2,1,29/05/2014,808,3,2,1,2,1,2,1,33,3
15V0376,440948,439819,2,1,31/05/2014,455,2,1,1,1,1,2,1,20,3
15V1000,429338,434993,2,1,31/05/2014,1420,6,1,1,1,1,2,1,23,3
1671235,431919,434808,1,1,07/06/2014,1735,6,1,1,1,2,2,1,3,9
1681511,436326,433625,2,1,08/06/2014,2000,3,1,1,1,1,2,1,47,4
16C0290,431045,440414,2,1,12/06/2014,810,3,1,1,1,1,2,2,28,9
16C1892,427512,435835,1,1,12/06/2014,2300,4,1,4,1,3,2,1,23,11
16D1188,433772,433538,1,2,13/06/2014,1625,6,1,1,1,3,2,2,4,3
16F0166,430795,438601,2,1,15/06/2014,130,6,1,4,1,1,2,1,19,1
16F1497,437306,443650,3,7,15/06/2014,1831,4,1,1,1,2,2,2,56,9
16G1167,421306,435630,2,1,16/06/2014,1643,3,1,1,1,1,2,1,42,90
16H1029,421715,440990,2,1,17/06/2014,1535,3,1,1,1,1,2,1,49,1
16I1528,430556,431179,1,2,18/06/2014,2000,3,1,1,1,2,2,1,23,9
16K1381,431343,435059,2,1,20/06/2014,1735,3,1,1,1,1,2,1,60,1
16K1970,423622,435523,1,1,20/06/2014,2210,6,2,5,1,1,2,1,29,3
16M0522,421464,442068,1,1,22/06/2014,926,6,1,1,1,1,2,1,46,4
16M0684,428920,444175,1,1,22/06/2014,1120,6,1,1,1,1,2,1,48,1
16O0983,420642,434367,1,1,24/06/2014,1452,3,1,1,1,3,2,1,13,9
16P0315,431068,430340,2,1,24/06/2014,1810,6,2,1,9,1,2,1,37,1
16Q0597,426523,433392,1,1,26/06/2014,1140,6,1,1,1,3,2,1,81,19
16S0543,439764,433146,1,1,28/06/2014,1025,3,2,1,2,3,2,2,76,9
16S0911,434989,436890,1,1,28/06/2014,1200,6,2,1,2,2,2,2,64,11
16T0960,443104,433190,1,1,29/06/2014,1524,3,1,1,1,1,2,1,44,9
16U0838,431024,433517,1,1,30/06/2014,1345,6,1,1,1,3,2,2,48,11
16U1629,430093,431305,1,1,30/06/2014,1949,3,1,1,1,3,2,2,52,9
1711647,435809,439504,2,1,01/07/2014,2010,3,1,1,1,1,2,2,67,9
1720356,430340,433391,2,1,02/07/2014,916,6,1,1,1,1,2,1,50,1
17A0970,423325,443467,2,1,10/07/2014,1515,3,1,1,1,1,2,1,55,5
17B1249,427489,431323,2,2,11/07/2014,1731,3,1,1,1,2,2,2,25,9
17B1651,427607,433942,1,1,11/07/2014,2033,6,1,1,1,3,2,1,19,9
17D1041,438461,432691,2,2,13/07/2014,1505,3,1,1,1,1,2,1,27,5
17H0524,429021,432303,2,1,17/07/2014,1112,6,1,1,1,1,2,1,81,22
17H1663,427258,438424,1,1,17/07/2014,2045,3,1,1,1,1,2,1,50,3
17I1985,434196,431721,1,1,18/07/2014,2126,3,1,4,1,1,2,1,44,5
17L1758,432325,440329,2,4,21/07/2014,2010,6,1,1,1,2,2,2,77,9
17N0317,432062,435966,2,1,23/07/2014,735,6,1,1,1,1,2,2,37,1
17N1215,430233,435116,2,1,23/07/2014,1700,6,1,1,1,1,2,1,20,2
17N1755,428618,436950,3,3,23/07/2014,1912,4,1,1,1,1,2,2,23,9
17N1801,441242,445218,2,1,23/07/2014,2155,6,1,6,1,1,2,1,41,5
17O0301,425072,427742,2,1,24/07/2014,735,3,1,1,1,1,2,1,61,9
17O1214,428540,431402,1,1,24/07/2014,1710,3,1,1,1,3,2,2,17,9
17O1361,428140,435853,2,1,24/07/2014,1810,3,1,1,1,1,2,1,29,9
17Q1362,419836,437055,1,1,26/07/2014,1650,3,1,1,1,3,2,2,25,9
17R1441,426123,439162,4,4,27/07/2014,1853,6,1,1,1,2,2,2,85,9
17T1602,429935,433609,1,1,29/07/2014,1657,6,1,1,1,2,2,2,73,11
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,2,1,63,19
1820538,431352,433947,2,1,02/08/2014,940,6,1,1,1,2,2,2,57,11
1861285,430153,430986,2,1,06/08/2014,1800,6,1,1,1,1,2,1,41,3
1870989,432458,438761,2,1,07/08/2014,1459,6,1,1,1,1,2,2,22,9
18A1305,435908,435358,2,3,10/08/2014,1904,6,2,1,2,2,2,1,15,9
18D0991,425172,440030,2,3,13/08/2014,1610,6,1,1,1,1,2,1,81,9
18D0991,425172,440030,2,3,13/08/2014,1610,6,1,1,1,2,2,2,80,9
18D0991,425172,440030,2,3,13/08/2014,1610,6,1,1,1,2,2,2,77,9
18D1478,435141,438714,2,1,13/08/2014,2020,3,1,1,1,1,2,1,22,5
18F0772,432282,434559,1,1,15/08/2014,1332,6,2,1,2,3,2,2,22,9
18G0562,425698,434796,2,2,16/08/2014,1035,6,1,1,1,1,2,1,25,3
18G1385,431473,434333,1,1,16/08/2014,1923,6,1,1,1,3,2,1,8,9
18I0955,438547,430136,2,1,18/08/2014,1600,6,1,1,1,1,2,1,18,4
18J1471,418070,442595,2,1,19/08/2014,2041,3,2,4,2,1,2,1,53,1
18K1418,429969,433278,2,1,20/08/2014,1905,6,1,1,1,1,2,1,44,1
18L0804,430739,436812,2,1,21/08/2014,1445,6,1,1,1,3,2,2,31,9
18L1186,427765,430740,2,2,21/08/2014,1752,3,2,1,2,1,2,1,28,19
18M1057,436179,434466,2,1,22/08/2014,1635,3,1,1,1,1,2,1,47,1
18N1023,427065,433102,2,1,23/08/2014,1500,6,1,1,1,1,2,2,59,9
18O0651,425280,435870,2,1,24/08/2014,1145,6,1,1,1,1,2,1,55,1
18Q0076,429715,432140,1,1,26/08/2014,220,2,2,4,2,3,2,2,63,9
18S0397,431081,433150,2,1,28/08/2014,948,6,1,1,1,1,2,1,27,1
18V0951,432464,435218,2,1,31/08/2014,1458,6,1,1,1,1,2,1,20,97
1921529,429698,438310,2,3,02/09/2014,2049,4,1,4,1,1,2,1,38,9
1941605,425856,437793,1,1,04/09/2014,2151,6,1,4,1,3,2,2,30,9
1991039,424271,428356,2,1,09/09/2014,1640,3,1,1,1,1,2,1,51,1
19B1153,436007,437654,2,1,11/09/2014,1708,6,1,1,1,1,2,1,13,1
19B1477,423807,430020,2,1,11/09/2014,1940,4,1,1,1,1,2,1,19,3
19B1640,425092,438073,2,1,11/09/2014,2100,6,1,4,1,1,2,1,16,2
19C1632,426984,440742,1,1,12/09/2014,2207,3,1,4,1,1,2,2,33,9
19D1783,427349,437171,1,1,13/09/2014,2312,3,1,4,1,3,2,2,40,9
19J0301,428169,436254,1,1,19/09/2014,849,6,1,1,1,3,2,1,7,9
19J1054,430350,433429,1,1,19/09/2014,1612,6,1,1,1,3,2,2,44,1
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,2,1,25,9
19L0679,431378,434237,1,1,21/09/2014,1110,6,1,1,1,3,2,1,67,9
19M0270,433257,432969,2,1,22/09/2014,1920,6,1,1,1,1,2,1,59,5
19M1525,425638,426887,1,1,22/09/2014,2123,3,1,4,1,3,2,1,56,9
19N0295,434800,429089,2,1,23/09/2014,820,6,1,1,1,1,2,1,18,3
19O0159,427592,431186,4,1,24/09/2014,625,3,2,4,1,1,2,1,35,1
19O0245,426426,427163,1,1,24/09/2014,840,6,1,1,1,1,2,1,19,3
19Q0731,427743,432615,1,1,26/09/2014,1440,6,1,1,1,1,2,1,25,3
19S0099,426765,438353,2,1,28/09/2014,44,3,1,4,1,1,2,1,28,5
1A10211,424904,436768,1,1,01/10/2014,525,3,1,5,1,1,2,1,47,1
1A10498,432491,430804,2,1,01/10/2014,1035,6,1,1,1,1,2,1,27,3
1A30603,433076,429619,1,1,03/10/2014,1050,1,1,1,1,1,2,1,52,21
1A50307,430204,433920,1,1,05/10/2014,409,6,1,4,1,3,2,2,36,9
1A50656,420971,441675,2,1,05/10/2014,1137,6,1,1,1,1,2,1,21,4
1A90026,422507,433995,1,1,09/10/2014,30,3,2,4,2,1,2,1,50,3
1AA0216,427147,430591,2,1,10/10/2014,708,1,2,1,1,1,2,1,29,5
1AA0282,426769,438355,2,2,10/10/2014,825,3,2,1,1,1,2,1,46,8
1AA0409,436216,435289,2,2,10/10/2014,405,6,2,4,9,2,2,1,24,9
1AB0952,426804,435496,2,1,11/10/2014,1500,6,1,1,1,1,2,1,21,3
1AD0081,432020,434741,2,2,13/10/2014,143,6,1,4,1,1,2,1,26,9
1AD0081,432020,434741,2,2,13/10/2014,143,6,1,4,1,2,2,1,34,9
1AD0216,435431,439805,3,1,13/10/2014,757,3,1,1,1,1,2,2,32,3
1AF0962,431923,438099,2,1,10/10/2014,1630,6,1,1,1,1,2,1,53,1
1AF1320,430520,437028,1,1,15/10/2014,1850,3,2,1,5,3,2,2,74,8
1AH0209,423047,437663,2,1,17/10/2014,758,3,1,1,1,1,2,1,31,1
1AI0595,427891,432915,2,1,18/10/2014,1030,6,1,1,1,1,2,2,34,9
1AJ1391,430140,436301,2,1,19/10/2014,1923,6,2,4,1,3,2,1,46,9
1AK1031,435431,439805,2,2,20/10/2014,1707,3,1,1,1,1,2,1,22,9
1AN0185,428940,429855,2,1,23/10/2014,705,6,2,4,1,1,2,1,41,1
1AN0267,428099,434744,2,1,23/10/2014,800,6,1,1,1,1,2,1,22,1
1AN0293,429476,435414,1,1,23/10/2014,854,6,1,1,1,3,2,1,6,9
1112091,429175,431904,2,1,01/01/2014,1840,6,2,4,2,1,3,1,58,9
1180869,430429,431025,3,2,08/01/2014,1430,1,2,1,1,1,3,1,69,9
1180869,430429,431025,3,2,08/01/2014,1430,1,2,1,1,1,3,2,41,9
11A0238,424660,427582,3,2,10/01/2014,817,1,1,1,1,1,3,1,35,9
11A0238,424660,427582,3,2,10/01/2014,817,1,1,1,1,1,3,1,25,9
11A0628,432917,425961,2,1,10/01/2014,1220,1,1,1,1,1,3,1,20,9
11S1208,432248,427099,3,1,28/01/2014,1828,1,2,4,2,1,3,1,38,9
1211556,426513,435659,1,1,01/08/2014,2000,6,1,1,1,3,3,1,23,9
1221002,424112,428080,1,1,02/02/2014,1531,1,2,1,1,1,3,1,28,9
12F1262,433137,433635,2,1,25/02/2014,1800,6,2,4,2,1,3,1,34,1
12H1186,426045,427745,1,1,17/02/2014,1728,6,2,4,2,3,3,1,17,9
12H1210,429147,431787,2,1,17/02/2014,1735,6,1,1,1,2,3,1,3,11
12H1381,425059,433376,2,1,17/02/2014,1905,4,2,4,2,2,3,2,56,9
12I0039,430708,439230,1,1,18/02/2014,2235,3,1,4,1,1,3,1,26,9
12I0740,432436,434843,2,1,18/02/2014,1320,6,1,1,1,1,3,1,33,1
12I0834,430306,434778,1,1,18/02/2014,1422,6,2,1,1,1,3,1,38,9
12I1006,431896,434915,2,3,18/02/2014,1545,6,1,1,1,2,3,1,19,9
12I1006,431896,434915,2,3,18/02/2014,1545,6,1,1,1,1,3,1,56,9
12I1006,431896,434915,2,3,18/02/2014,1545,6,1,1,1,2,3,1,41,9
12I1203,428282,433512,2,1,18/02/2014,1720,6,1,1,1,1,3,1,42,1
12I1281,425763,435423,1,1,18/02/2014,1802,6,1,4,1,3,3,2,23,9
12I1450,429387,434948,2,1,18/02/2014,1944,3,1,4,1,1,3,1,25,1
12I1578,424145,430427,2,1,18/02/2014,2052,3,1,4,1,1,3,1,21,3
12I1769,428836,440130,2,1,18/02/2014,2318,6,1,4,1,1,3,1,16,3
12J0189,426677,431760,2,1,19/02/2014,655,3,1,4,1,1,3,1,23,1
12J0433,429092,429970,2,1,19/02/2014,1028,3,1,1,1,1,3,1,38,4
12J0994,429475,439388,2,1,19/02/2014,1550,6,1,1,1,3,3,2,11,9
12J1142,426308,437694,1,1,19/02/2014,1639,6,1,1,1,3,3,2,68,9
12J1435,430951,435935,2,1,19/02/2014,1430,6,1,1,1,1,3,1,46,9
12J1654,431884,435515,2,4,19/02/2014,2040,6,1,4,1,1,3,1,25,9
12J1654,431884,435515,2,4,19/02/2014,2040,6,1,4,1,1,3,2,23,9
12J1654,431884,435515,2,4,19/02/2014,2040,6,1,4,1,2,3,1,23,9
12J1654,431884,435515,2,4,19/02/2014,2040,6,1,4,1,2,3,2,22,9
12K0297,422145,428046,2,1,19/02/2014,1725,3,2,4,1,2,3,2,28,9
12K0444,421474,445803,2,1,20/02/2014,1053,3,1,1,1,1,3,2,84,9
12K0450,437041,438282,2,1,20/02/2014,1055,6,1,1,1,1,3,1,55,9
12K0781,428776,433265,2,2,20/02/2014,1355,2,1,1,1,1,3,1,36,8
12K0781,428776,433265,2,2,20/02/2014,1355,2,1,1,1,2,3,1,21,8
12K0913,430683,432507,2,1,20/02/2014,1500,6,2,1,1,2,3,2,52,9
12K1147,431889,434978,2,1,20/02/2014,1645,6,2,1,1,1,3,1,21,9
12K1171,431384,430549,5,4,20/02/2014,1655,1,2,1,1,1,3,1,48,9
12K1171,431384,430549,5,4,20/02/2014,1655,1,2,1,1,1,3,1,63,9
12K1171,431384,430549,5,4,20/02/2014,1655,1,2,1,1,2,3,2,60,9
12K1171,431384,430549,5,4,20/02/2014,1655,1,2,1,1,1,3,1,60,9
12K1446,424933,434423,2,2,20/02/2014,1827,3,2,4,1,1,3,2,55,9
12K1446,424933,434423,2,2,20/02/2014,1827,3,2,4,1,2,3,2,56,9
12K1752,428893,432890,2,2,20/02/2014,2220,6,1,4,1,1,3,2,51,9
12K1752,428893,432890,2,2,20/02/2014,2220,6,1,4,1,1,3,1,36,9
12L0539,439477,432443,2,1,21/02/2014,1530,3,1,1,1,1,3,1,21,1
12L0561,432382,435070,2,2,21/02/2014,1205,6,1,1,1,1,3,1,32,9
12L0561,432382,435070,2,2,21/02/2014,1205,6,1,1,1,2,3,2,31,9
12L0945,432858,435382,2,2,21/02/2014,1535,6,1,1,1,1,3,1,25,9
12L0945,432858,435382,2,2,21/02/2014,1535,6,1,1,1,1,3,2,23,9
12L0965,430959,433432,1,1,21/02/2014,1545,3,1,1,1,3,3,1,15,9
12L1445,421620,445945,1,1,21/02/2014,1950,3,2,4,5,1,3,2,55,9
12M0056,428974,435464,1,1,22/02/2014,29,6,2,4,2,3,3,1,44,9
12M0800,427362,431156,2,1,21/02/2014,920,3,2,4,8,1,3,1,40,1
12M1517,426773,435723,2,2,22/02/2014,1853,6,1,4,1,1,3,1,59,9
12M1517,426773,435723,2,2,22/02/2014,1853,6,1,4,1,2,3,2,47,9
12M1932,427423,433046,2,1,22/02/2014,2230,6,1,4,1,1,3,1,33,19
12N0893,435901,428601,1,1,23/02/2014,1300,6,1,1,1,1,3,1,80,9
12N0997,431928,428128,1,1,23/02/2014,1435,1,1,1,1,2,3,2,4,9
12N1293,430091,435427,1,2,23/02/2014,1545,6,2,1,9,2,3,2,44,11
12N1293,430091,435427,1,2,23/02/2014,1545,6,2,1,9,2,3,2,53,11
12N1843,429804,433477,1,1,23/02/2014,2303,6,1,4,1,3,3,1,25,8
12O0014,426807,432112,4,1,24/02/2014,14,6,1,4,1,2,3,2,35,9
12O0439,430066,433771,1,1,24/02/2014,1036,6,1,1,1,3,3,1,59,20
12O0947,422418,433289,1,1,24/02/2014,1510,6,1,1,1,3,3,2,11,9
12O1082,435125,445093,3,5,24/02/2014,1605,3,1,1,1,1,3,1,37,19
12O1082,435125,445093,3,5,24/02/2014,1605,3,1,1,1,1,3,2,41,9
12O1082,435125,445093,3,5,24/02/2014,1605,3,1,1,1,2,3,2,7,9
12O1082,435125,445093,3,5,24/02/2014,1605,3,1,1,1,1,3,2,47,9
12O1082,435125,445093,3,5,24/02/2014,1605,3,1,1,1,2,3,2,18,9
12O1093,429383,434947,2,1,24/02/2014,1610,6,1,1,1,1,3,1,29,1
12O1421,430634,433453,2,1,24/02/2014,1835,6,1,4,1,2,3,2,20,8
12O1573,431251,445731,2,1,24/02/2014,1950,3,1,4,1,1,3,1,27,9
12P0232,429922,427806,2,2,25/02/2014,809,6,1,1,1,1,3,1,75,9
12P0232,429922,427806,2,2,25/02/2014,809,6,1,1,1,1,3,1,24,19
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,3,2,17,9
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,3,1,12,9
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,3,1,12,9
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,3,1,12,9
12P0254,423328,443471,2,1,25/02/2014,835,3,1,1,1,1,3,1,65,9
12P0269,435573,425902,2,2,25/02/2014,846,1,1,1,1,1,3,2,43,9
12P0269,435573,425902,2,2,25/02/2014,846,1,1,1,1,1,3,1,50,19
12P0951,430454,437507,2,2,25/02/2014,1530,6,1,1,1,1,3,1,45,9
12P0951,430454,437507,2,2,25/02/2014,1530,6,1,1,1,2,3,1,26,9
12P1279,429051,435525,2,1,25/02/2014,1824,6,2,4,2,1,3,2,57,9
12Q0398,431107,433740,2,1,26/02/2014,953,2,1,1,1,1,3,2,43,9
12Q0928,431517,434295,2,1,26/02/2014,1505,6,1,1,1,1,3,1,23,1
12Q1027,430437,434391,2,4,26/02/2014,1545,6,1,1,1,2,3,1,28,11
12Q1027,430437,434391,2,4,26/02/2014,1545,6,1,1,1,2,3,1,45,11
12Q1027,430437,434391,2,4,26/02/2014,1545,6,1,1,1,2,3,1,8,11
12Q1027,430437,434391,2,4,26/02/2014,1545,6,1,1,1,2,3,2,6,11
12Q1511,431959,430490,1,1,26/02/2014,1725,3,2,1,1,2,3,2,76,11
12R0178,423047,437663,2,1,27/02/2014,549,3,2,4,2,1,3,1,60,5
12R0675,430717,434135,1,2,27/02/2014,1300,6,1,1,1,1,3,1,18,4
12R0675,430717,434135,1,2,27/02/2014,1300,6,1,1,1,3,3,1,19,4
12R1124,437735,433076,1,1,27/02/2014,1654,3,1,1,1,1,3,1,29,9
12R1413,429180,431912,2,2,27/02/2014,1916,6,1,4,1,2,3,1,18,9
12R1413,429180,431912,2,2,27/02/2014,1916,6,1,4,1,2,3,1,19,9
12S1056,428224,435786,2,1,28/02/2014,1609,3,2,1,2,1,3,1,25,9
12S1059,437227,433425,1,1,28/02/2014,1605,3,1,1,1,3,3,2,36,9
12S1268,430460,431125,3,2,28/02/2014,1730,1,1,1,1,1,3,1,35,9
12S1268,430460,431125,3,2,28/02/2014,1730,1,1,1,1,1,3,2,45,9
12S1494,429429,433462,2,1,28/02/2014,1915,6,1,4,1,2,3,2,68,9
1311240,428431,435003,1,2,01/03/2014,1627,6,1,1,1,3,3,1,21,8
1311240,428431,435003,1,2,01/03/2014,1627,6,1,1,1,1,3,1,56,8
1311578,432515,434885,1,1,01/03/2014,1915,6,1,4,1,3,3,1,19,20
1320442,430692,424510,2,1,01/03/2014,1835,3,1,4,1,1,3,2,33,9
1330277,429137,435242,2,1,03/03/2014,855,6,1,1,1,1,3,2,43,9
1331079,432278,436992,1,1,03/03/2014,1600,6,1,1,1,3,3,2,17,9
1340155,427915,436171,1,1,04/03/2014,642,3,1,1,1,3,3,1,19,9
1340208,426996,437458,2,1,04/03/2014,736,3,1,1,1,1,3,1,49,5
1340463,441635,444450,2,1,04/03/2014,1111,2,1,1,1,2,3,2,3,9
1341172,430325,424149,1,1,04/03/2014,1737,1,1,1,1,1,3,1,42,21
1341363,429321,430673,2,2,04/03/2014,1859,6,1,4,1,1,3,1,29,9
1341363,429321,430673,2,2,04/03/2014,1859,6,1,4,1,2,3,2,23,9
1341397,432120,432882,2,1,04/03/2014,1915,6,1,4,1,1,3,1,44,9
1350208,417889,443313,3,2,05/03/2014,759,3,1,1,1,1,3,2,29,9
1350208,417889,443313,3,2,05/03/2014,759,3,1,1,1,1,3,1,35,19
1350602,429689,427938,1,1,05/03/2014,1200,6,1,1,1,3,3,1,69,8
1351484,421715,440990,2,1,05/03/2014,1900,3,1,4,1,2,3,1,13,9
1360255,427180,434761,2,1,06/03/2014,847,3,1,1,1,1,3,1,48,1
1360958,429337,433478,2,1,05/03/2014,1230,3,1,1,1,1,3,1,42,1
1361391,435951,428252,1,1,06/03/2014,1935,3,2,4,1,1,3,1,49,1
1370105,422649,440068,1,1,07/03/2014,235,6,2,6,1,1,3,1,23,9
1370281,433177,434019,3,3,07/03/2014,845,3,2,1,1,1,3,1,57,9
1370281,433177,434019,3,3,07/03/2014,845,3,2,1,1,1,3,1,38,4
1370345,420792,439584,2,1,07/03/2014,1717,4,2,1,2,1,3,1,38,1
1370605,424253,433564,3,1,07/03/2014,1537,6,1,1,1,1,3,2,33,9
1371061,422218,433361,1,1,07/03/2014,815,4,1,1,1,3,3,1,13,9
1371067,428097,434762,1,1,07/03/2014,1500,6,1,1,1,3,3,2,12,2
1371129,433909,434031,1,1,07/03/2014,1620,3,1,1,1,3,3,1,14,9
1371450,430393,433628,1,1,07/03/2014,1756,6,1,1,1,2,3,2,85,11
1371538,423475,434036,2,2,07/03/2014,1931,6,1,4,1,1,3,2,28,9
1371538,423475,434036,2,2,07/03/2014,1931,6,1,4,1,1,3,1,33,9
1371569,432914,437027,2,3,07/03/2014,1940,6,2,4,1,1,3,1,32,9
1371569,432914,437027,2,3,07/03/2014,1940,6,2,4,1,2,3,1,18,9
1371569,432914,437027,2,3,07/03/2014,1940,6,2,4,1,2,3,1,31,9
1371872,429440,431732,2,1,07/03/2014,2130,6,1,4,1,1,3,1,26,1
1380112,435539,438368,3,2,08/03/2014,148,6,1,4,1,1,3,2,38,9
1380112,435539,438368,3,2,08/03/2014,148,6,1,4,1,2,3,1,25,9
1380791,428054,435266,2,2,08/03/2014,1245,6,1,1,1,1,3,2,26,9
1380791,428054,435266,2,2,08/03/2014,1245,6,1,1,1,2,3,2,17,9
1380828,435745,436866,2,1,08/03/2014,1300,3,1,1,1,1,3,1,35,9
1380848,429586,431001,2,1,08/03/2014,1315,6,2,1,1,3,3,1,21,20
1381183,426767,438353,2,2,08/03/2014,1605,3,1,1,1,1,3,1,59,9
1381775,432494,436620,1,1,08/03/2014,2045,2,1,4,1,3,3,1,14,9
1390139,428065,435017,2,1,09/03/2014,1407,6,1,1,1,2,3,1,43,9
1390527,427286,434701,2,3,09/03/2014,850,3,1,1,1,1,3,2,27,9
1390747,430442,437754,2,1,09/03/2014,1140,6,1,1,1,1,3,2,25,9
1391128,427265,429573,2,1,09/03/2014,1502,3,1,1,1,1,3,1,21,4
1391335,443071,440722,1,1,09/03/2014,1625,2,1,1,1,1,3,2,53,9
1391658,426098,428269,2,1,09/03/2014,1850,3,1,4,1,2,3,1,32,9
13A0258,426948,431887,2,1,10/03/2014,815,6,1,1,1,1,3,2,33,9
13A0547,435887,428211,2,1,10/03/2014,1100,3,1,1,1,1,3,1,41,3
13A0930,430412,437824,2,1,10/03/2014,1420,6,1,1,1,1,3,1,55,19
13A1241,432651,436884,1,1,10/03/2014,1530,6,1,1,1,3,3,1,2,11
13A1269,424189,434783,1,1,10/03/2014,1646,6,1,1,1,3,3,1,15,9
13A1346,429071,438560,2,1,10/03/2014,1705,3,1,1,1,1,3,1,27,1
13A1369,433727,434053,3,1,10/03/2014,1723,3,1,1,1,1,3,1,37,1
13A1484,421063,434217,2,1,10/03/2014,1811,3,1,1,1,1,3,2,46,9
13A1569,427179,434996,2,3,10/03/2014,1840,6,1,4,1,1,3,2,38,19
13A1569,427179,434996,2,3,10/03/2014,1840,6,1,4,1,1,3,1,19,3
13A1569,427179,434996,2,3,10/03/2014,1840,6,1,4,1,2,3,2,18,3
13A1716,431763,434920,3,2,10/03/2014,1955,6,1,4,1,1,3,1,24,9
13A1716,431763,434920,3,2,10/03/2014,1955,6,1,4,1,1,3,1,43,9
13A1983,429081,433520,1,1,10/03/2014,1950,6,1,4,1,2,3,2,69,11
13B0159,424642,434453,1,1,11/03/2014,700,4,1,1,1,3,3,2,26,9
13B0165,424597,445107,2,2,11/03/2014,1159,3,4,1,1,1,3,1,59,19
13B0165,424597,445107,2,2,11/03/2014,1159,3,4,1,1,2,3,1,49,19
13B0318,435806,433195,1,1,15/03/2014,830,6,1,1,1,3,3,1,53,9
13B0844,430842,439685,2,2,11/03/2014,1427,3,1,1,1,1,3,1,19,9
13B0844,430842,439685,2,2,11/03/2014,1427,3,1,1,1,2,3,1,18,9
13B0933,428001,435414,2,3,10/03/2014,2010,6,1,4,1,1,3,2,34,9
13B0933,428001,435414,2,3,10/03/2014,2010,6,1,4,1,2,3,2,11,9
13B0933,428001,435414,2,3,10/03/2014,2010,6,1,4,1,2,3,2,6,9
13B0966,424944,435693,1,1,11/03/2014,1530,6,1,1,1,3,3,1,9,9
13B1000,433181,434012,2,1,11/03/2014,1543,3,1,1,1,2,3,2,57,9
13B1202,430752,434606,2,1,10/03/2014,1630,3,1,1,1,1,3,1,38,19
13B1726,430233,435116,2,1,11/03/2014,1745,6,1,1,1,1,3,2,43,1
13C0182,429557,431568,3,1,12/03/2014,720,6,1,1,1,1,3,1,25,1
13C0533,427083,433353,2,1,12/03/2014,1150,6,1,1,1,1,3,1,52,19
13C0794,437569,432828,1,1,12/03/2014,1430,6,1,1,1,2,3,2,33,19
